"id","state","city","city_ibge_code","confirmed","confirmed_per_100k_inhabitants","date","death_rate","deaths","estimated_population_2019","update_source"
7634,"PB","Condado","2504504",30,"450.85663","2020-05-22","0",0,6654,""
7635,"PB","Conde","2504603",62,"251.31739","2020-05-22","0.0323",2,24670,""
7636,"PB","Congo","2504702",11,"229.83702","2020-05-22","0.0909",1,4786,""
7637,"PB","Coremas","2504801",12,"77.69505","2020-05-22","0",0,15445,""
7638,"PB","Coxixola","2504850",4,"208.22488","2020-05-22","0",0,1921,""
7639,"PB","Cruz do Espírito Santo","2504900",86,"496.56447","2020-05-22","0.0581",5,17319,""
7640,"PB","Cuité","2505105",1,"4.9169","2020-05-22","0",0,20338,""
7641,"PB","Cuité de Mamanguape","2505238",3,"47.22178","2020-05-22","0",0,6353,""
7642,"PB","Cuitegi","2505204",29,"426.28252","2020-05-22","0.0345",1,6803,""
7643,"PB","Curral de Cima","2505279",3,"57.3943","2020-05-22","0",0,5227,""
7644,"PB","Desterro","2505402",2,"24.1051","2020-05-22","0",0,8297,""
7645,"PB","Dona Inês","2505709",1,"9.56663","2020-05-22","0",0,10453,""
7646,"PB","Duas Estradas","2505808",7,"194.66073","2020-05-22","0",0,3596,""
7647,"PB","Emas","2505907",1,"28.39296","2020-05-22","0",0,3522,""
7648,"PB","Esperança","2506004",29,"87.86015","2020-05-22","0",0,33007,""
7649,"PB","Fagundes","2506103",3,"26.65956","2020-05-22","0",0,11253,""
7650,"PB","Gado Bravo","2506251",15,"180.37518","2020-05-22","0.0667",1,8316,""
7651,"PB","Guarabira","2506301",354,"601.70313","2020-05-22","0.0085",3,58833,""
7652,"PB","Gurinhém","2506400",23,"162.78576","2020-05-22","0",0,14129,""
7653,"PB","Gurjão","2506509",3,"87.51459","2020-05-22","0",0,3428,""
7654,"PB","Ibiara","2506608",2,"33.7325","2020-05-22","0",0,5929,""
7655,"PB","Igaracy","2502607",4,"65.39153","2020-05-22","0",0,6117,""
7656,"PB","Imaculada","2506707",4,"33.84381","2020-05-22","0",0,11819,""
7657,"PB","Ingá","2506806",15,"82.85919","2020-05-22","0",0,18103,""
7658,"PB","Itabaiana","2506905",45,"183.84606","2020-05-22","0.0222",1,24477,""
7659,"PB","Itaporanga","2507002",4,"16.19958","2020-05-22","0.25",1,24692,""
7660,"PB","Itapororoca","2507101",20,"107.15817","2020-05-22","0.05",1,18664,""
7661,"PB","Itatuba","2507200",25,"228.06057","2020-05-22","0.04",1,10962,""
7662,"PB","Jacaraú","2507309",7,"48.50669","2020-05-22","0",0,14431,""
7663,"PB","Jericó","2507408",1,"12.92157","2020-05-22","0",0,7739,""
7664,"PB","João Pessoa","2507507",2226,"275.14941","2020-05-22","0.04",89,809015,""
7665,"PB","Joca Claudino","2513653",1,"37.93627","2020-05-22","0",0,2636,""
7666,"PB","Juarez Távora","2507606",9,"113.40726","2020-05-22","0",0,7936,""
7667,"PB","Juazeirinho","2507705",38,"209.12443","2020-05-22","0",0,18171,""
7668,"PB","Junco do Seridó","2507804",5,"69.93007","2020-05-22","0.2",1,7150,""
7669,"PB","Juripiranga","2507903",45,"418.37114","2020-05-22","0",0,10756,""
7670,"PB","Juru","2508000",2,"20.26959","2020-05-22","0",0,9867,""
7671,"PB","Lagoa","2508109",3,"64.2949","2020-05-22","0",0,4666,""
7672,"PB","Lagoa de Dentro","2508208",4,"51.82018","2020-05-22","0",0,7719,""
7673,"PB","Lagoa Seca","2508307",22,"79.99127","2020-05-22","0.0909",2,27503,""
7674,"PB","Lastro","2508406",1,"36.53635","2020-05-22","0",0,2737,""
7675,"PB","Logradouro","2508554",7,"161.58818","2020-05-22","0",0,4332,""
7676,"PB","Lucena","2508604",40,"305.8104","2020-05-22","0",0,13080,""
8741,"SP","Torre de Pedra","3554656",4,"165.83748","2020-05-23","0.25",1,2412,""
8742,"SP","Torrinha","3554706",10,"99.9001","2020-05-23","0",0,10010,""
8743,"SP","Trabiju","3554755",1,"58.00464","2020-05-23","0",0,1724,""
8744,"SP","Tremembé","3554805",6,"12.71591","2020-05-23","0",0,47185,""
8745,"SP","Três Fronteiras","3554904",3,"51.66179","2020-05-23","0",0,5807,""
8746,"SP","Tuiuti","3554953",3,"43.5161","2020-05-23","0",0,6894,""
8747,"SP","Tupã","3555000",11,"16.78774","2020-05-23","0.0909",1,65524,""
8748,"SP","Tupi Paulista","3555109",35,"225.87932","2020-05-23","0",0,15495,""
8749,"SP","Ubatuba","3555406",49,"53.96535","2020-05-23","0.0204",1,90799,""
8750,"SP","Ubirajara","3555505",7,"146.44351","2020-05-23","0",0,4780,""
8751,"SP","Uchoa","3555604",7,"69.23838","2020-05-23","0.1429",1,10110,""
8752,"SP","União Paulista","3555703",1,"54.22993","2020-05-23","0",0,1844,""
8753,"SP","Uru","3555901",3,"257.51073","2020-05-23","0.3333",1,1165,""
8754,"SP","Urupês","3556008",3,"21.72496","2020-05-23","0",0,13809,""
8755,"SP","Valentim Gentil","3556107",4,"30.01651","2020-05-23","0",0,13326,""
8756,"SP","Valinhos","3556206",92,"71.21129","2020-05-23","0.0435",4,129193,""
8757,"SP","Valparaíso","3556305",5,"18.88218","2020-05-23","0",0,26480,""
8758,"SP","Vargem","3556354",4,"37.96147","2020-05-23","0",0,10537,""
7677,"PB","Mãe d'Água","2508703",2,"49.88775","2020-05-22","0",0,4009,""
7678,"PB","Malta","2508802",6,"104.18475","2020-05-22","0",0,5759,""
7679,"PB","Mamanguape","2508901",32,"71.29807","2020-05-22","0",0,44882,""
7680,"PB","Manaíra","2509008",2,"18.2565","2020-05-22","0",0,10955,""
7681,"PB","Mari","2509107",60,"274.76302","2020-05-22","0.0333",2,21837,""
7682,"PB","Marizópolis","2509156",4,"60.45036","2020-05-22","0.25",1,6617,""
7683,"PB","Massaranduba","2509206",16,"114.95905","2020-05-22","0",0,13918,""
7684,"PB","Mataraca","2509305",12,"142.28124","2020-05-22","0",0,8434,""
7685,"PB","Matinhas","2509339",4,"88.88889","2020-05-22","0",0,4500,""
7686,"PB","Mato Grosso","2509370",3,"103.16369","2020-05-22","0",0,2908,""
7687,"PB","Maturéia","2509396",7,"106.56112","2020-05-22","0",0,6569,""
7688,"PB","Mogeiro","2509404",1,"7.52785","2020-05-22","1",1,13284,""
7689,"PB","Montadas","2509503",2,"35.27959","2020-05-22","0",0,5669,""
7690,"PB","Monteiro","2509701",14,"42.14075","2020-05-22","0",0,33222,""
7691,"PB","Mulungu","2509800",9,"90.89073","2020-05-22","0",0,9902,""
7692,"PB","Natuba","2509909",5,"47.82858","2020-05-22","0",0,10454,""
7693,"PB","Nova Floresta","2510105",1,"9.40026","2020-05-22","0",0,10638,""
7694,"PB","Nova Olinda","2510204",1,"16.80955","2020-05-22","0",0,5949,""
7695,"PB","Olho d'Água","2510402",1,"15.32332","2020-05-22","0",0,6526,""
7696,"PB","Ouro Velho","2510600",1,"32.90556","2020-05-22","0",0,3039,""
7697,"PB","Passagem","2510709",2,"82.67879","2020-05-22","0",0,2419,""
7698,"PB","Patos","2510808",374,"347.56749","2020-05-22","0.0428",16,107605,""
7699,"PB","Paulista","2510907",8,"64.79307","2020-05-22","0",0,12347,""
7700,"PB","Pedras de Fogo","2511202",121,"425.188","2020-05-22","0.0248",3,28458,""
7701,"PB","Piancó","2511301",10,"62.2084","2020-05-22","0.2",2,16075,""
7702,"PB","Picuí","2511400",2,"10.69347","2020-05-22","0",0,18703,""
7703,"PB","Pilar","2511509",25,"209.78434","2020-05-22","0",0,11917,""
7704,"PB","Pilões","2511608",5,"75.35795","2020-05-22","0",0,6635,""
7705,"PB","Pilõezinhos","2511707",18,"361.73633","2020-05-22","0",0,4976,""
7706,"PB","Pirpirituba","2511806",10,"94.52689","2020-05-22","0",0,10579,""
7707,"PB","Pitimbu","2511905",57,"298.97718","2020-05-22","0.0351",2,19065,""
7708,"PB","Pocinhos","2512002",5,"26.93385","2020-05-22","0",0,18564,""
7709,"PB","Pombal","2512101",21,"64.02244","2020-05-22","0",0,32801,""
7710,"PB","Princesa Isabel","2512309",5,"21.41786","2020-05-22","0",0,23345,""
7711,"PB","Puxinanã","2512408",11,"80.40936","2020-05-22","0",0,13680,""
7712,"PB","Queimadas","2512507",28,"63.68413","2020-05-22","0",0,43967,""
7713,"PB","Quixaba","2512606",5,"255.62372","2020-05-22","0",0,1956,""
7714,"PB","Remígio","2512705",24,"122.31792","2020-05-22","0",0,19621,""
7715,"PB","Riachão do Bacamarte","2512754",47,"1039.59301","2020-05-22","0",0,4521,""
7716,"PB","Riachão do Poço","2512762",1,"22.17787","2020-05-22","1",1,4509,""
7717,"PB","Riacho de Santo Antônio","2512788",3,"154.00411","2020-05-22","0",0,1948,""
7718,"PB","Riacho dos Cavalos","2512804",2,"23.45766","2020-05-22","0",0,8526,""
7719,"PB","Rio Tinto","2512903",26,"107.54467","2020-05-22","0.0385",1,24176,""
7720,"PB","Salgado de São Félix","2513109",12,"98.84679","2020-05-22","0",0,12140,""
